cutoff_age,sex,variant,model,cv_strategy,n_samples,n_features,n_repeats,R2_mean,R2_ci_lo,R2_ci_hi,R2_std,RMSE_mean,MAE_mean,tag,n_groups
16,Male,trajectory_only,Ridge,random,958,26,500.0,0.6279337386980715,0.5203076449494535,0.7163992060032518,0.05164373202151065,0.2376061654369426,0.19158816813323198,primary,
16,Male,trajectory_only,RandomForest,random,958,26,500.0,0.5982137168919626,0.5013825365369176,0.6728112917857069,0.04468597326244781,0.24749674351628964,0.1958312421767615,primary,
16,Male,trajectory_only,GradientBoosting,random,958,26,500.0,0.6030832479464312,0.4910702314905233,0.6871445856136671,0.05052183031486888,0.2456467873709164,0.1957741286937703,primary,
16,Male,traj_wind,Ridge,random,958,40,500.0,0.6280963715204437,0.5204418141162135,0.7160503904181089,0.052178856560008695,0.23753266479143176,0.19100349616364493,primary,
16,Male,traj_wind,RandomForest,random,958,40,500.0,0.5985169431596523,0.49771034169751127,0.6763954142072577,0.04620921508498662,0.2473675663816201,0.19556090054803107,primary,
16,Male,traj_wind,GradientBoosting,random,958,40,500.0,0.6056685580878981,0.5014381010034188,0.6869393868527125,0.048178130554301,0.24493316421143457,0.19476732424712828,primary,
16,Male,full_no_anthro,Ridge,random,958,47,500.0,0.6463954663769309,0.5384472320517533,0.7347236664513512,0.051008666336519314,0.23157214386005426,0.18344058537589963,primary,
16,Male,full_no_anthro,RandomForest,random,958,47,500.0,0.6189095469249692,0.5261301954347799,0.6907546137719623,0.04325567778726084,0.24104118242447256,0.18900211181778856,primary,
16,Male,full_no_anthro,GradientBoosting,random,958,47,500.0,0.6238561938301623,0.5238500872930081,0.7022904781061049,0.04680689495189383,0.23917727391710414,0.18884697223504968,primary,
16,Female,trajectory_only,Ridge,random,452,26,500.0,0.5715663055775114,0.3283441207572267,0.7202190631397856,0.09926956272533541,0.38866844684820295,0.29369222151890834,primary,
16,Female,trajectory_only,RandomForest,random,452,26,500.0,0.6606051963469208,0.5463712099717213,0.7562289032475241,0.05408989592868304,0.34924450953684244,0.2555971171892983,primary,
16,Female,trajectory_only,GradientBoosting,random,452,26,500.0,0.6335367593522843,0.4598955548078649,0.7568952572180959,0.07530761827744224,0.36124117461840044,0.2615046613576566,primary,
16,Female,traj_wind,Ridge,random,452,40,500.0,0.5699518295280276,0.321091336575673,0.718078226449086,0.09927640136723288,0.3893179120286717,0.29735505506160453,primary,
16,Female,traj_wind,RandomForest,random,452,40,500.0,0.6592811098941378,0.5379150274051246,0.7588481521330392,0.05651693375749407,0.34972440423920215,0.25349987126900714,primary,
16,Female,traj_wind,GradientBoosting,random,452,40,500.0,0.6277870136741567,0.45524402294649086,0.7508677243739434,0.07824045031505933,0.36416866713855617,0.2603702136982257,primary,
16,Female,full_no_anthro,Ridge,random,452,47,500.0,0.5878349277096114,0.3415054482673059,0.7320565885535971,0.09696473875730124,0.38093519713018364,0.290223685717498,primary,
16,Female,full_no_anthro,RandomForest,random,452,47,500.0,0.6609741729894566,0.5438429260590318,0.7589544228151914,0.05609063433651561,0.3488924656426869,0.25290077505694625,primary,
16,Female,full_no_anthro,GradientBoosting,random,452,47,500.0,0.638391327003259,0.45731309305504714,0.7608801059868329,0.07788492153964104,0.3588482829650092,0.2558744406062424,primary,
17,Male,trajectory_only,Ridge,random,2889,26,500.0,0.7415343862696676,0.701843223247242,0.7750947438084154,0.018950514550739397,0.19408679314163793,0.15657457768964797,primary,
17,Male,trajectory_only,RandomForest,random,2889,26,500.0,0.7315799727164717,0.6908260111582012,0.766026540087108,0.019068895436484313,0.19780695192049116,0.15779668336330668,primary,
